,source,target
0,"so , unless that 's gon na be feasible , then ...","unless that's gon'be possible, then..."
1,"by now , singh 's probably been arrested .","now, singh's probably been arrested."
2,“ why not ?,“ why not? ”
3,an old man 's mistake … ',an old man's mistake.
4,he reached for a microphone and i could hear his voice booming faintly throughout the ship .,he reached for a microphone and i could hear his voice booming through the ship.
5,"he loved that little man , by the way .",he loved that little man.
6,"i 've been very , very lucky .",i've been very lucky.
7,"well , then , i 'm kind of gon na rub this dinner in her face next time i see her .","well, i'm going to rub this dinner in her face next time i see her."
8,"it 's like , gross , yet oddly delicious .","it's like, gross, yet oddly delicious."
9,not as much as i 'd like,not as much as i 'd like to see.
10,there 's no doubt in my mind that this is the right group of men but we still have to prove it to the ministry .,there's no doubt in my mind that this is the right group of men
11,"no short colin powell haircut , havin'-ass motherfucker . get ’ im !","no short colin powell haircut, havin' ass motherfucker. get ’ im!"
12,it 's so hard . mmm . and there 's a baby growing inside .,it's so hard. mmm. and there's a baby growing inside.
13,"none of us likes to believe a servant of father church can be in error , and for those of the clergy there is an added dimension .","none of us likes to believe a servant of father church can be wrong,"
14,'up ! ' he commanded .,'up!'he commanded.
15,"i dunno what world you live in , what your game is , what you 're into , but ... i think i 'm done here .","i'm not sure what world you live in, what your game"
16,"goddamn it , 57 !",57!
17,“ now i am mephisto .,“ i am mephisto.
18,"december 12 , 1973 he made out a christmas list the night before ( drunk ) and was now downtown filling an abridged version .","december 12, 1973 he made out a christmas list the night"
19,"`` how ? '' asked gimlet , seeing no hiding place on the flat plain .","`` how? '' he asked gimlet, seeing no hiding place on the flat plain."
20,you should spend some time taking a personal inventory of what you 're doing for the betterment of society .,you should take a look at your life and see what you're doing for the betterment of society
21,"oh , vince ... you know , how every cop always leaves his house with a gun ?",how every cop always leaves his house with a gun?
22,"and me , i 've got my old singin ' partner back .",and i've got my old partner back.
23,i 'm assuming .,i'm assuming.
24,but they are often sentimental about churchill .,but they're often sentimental about churchill.
25,i 'll cum on my cat 's face .,i 'll cum on my cat's face.
26,bob and i had a little chat ... and we 're thinking we 're gon na organize a handling run for you .,"bob and i had a little chat, and we're thinking we're"
27,we ca n't wear gloves to do it because that would be seen as insulting .,we can't wear gloves to do it because it would be seen as insulting.
28,"under the current rules , vat on natural gas and electricity is levied at the place where they are actually consumed by the customer .","under the current rules, vat on natural gas and electricity is levied at the place"
29,that 's not even a lake . that 's luden pond .,that's not even a lake. that's luden pond.
30,"just like that -- as you 're telling him this , you realize that you 're attracted to him also .","as you're telling him this, you realize that you're attracted to him also."
31,i am 40 years old .,i'm 40 years old.
32,she screwed up and she ca n't admit the fact .,she screwed up and she can't admit it.
33,"we 're still doing that , right ?","we're still doing that, right?"
34,"she 's gon na be taking over for me , starting next week .","she's gonna be taking over for me, starting next week."
35,"having seen to the needs of my car , i walked into the office to get those glasses and pay for the gas .",i went into the office to get the glasses and pay for the gas.
36,"that i say nothing about what i see , what i hear ?","i say nothing about what i see, what i hear?"
37,eu/1/00/146/036 100 x 1 tablets,eu/1/00/146/036 100 x 1 tablets 100 x 1
38,but-but i-i can get him to tell me who 's making this stuff .,but i can get him to tell me who's making this stuff.
39,i do n't know how many i 've decorated today ...,i don 't know how many i've decorated today.
40,"as soon as i 'm finished , i can try again .",i'm going to try again.
41,"i reckon you 've got a right , major .","i'm sure you've got a right, major."
42,`` what we did then instead was this :,"`` we did not do anything then, we just did not do anything. ''"
43,but i didn'tdo nothin ' .,but i didn 't do anything.
44,"but why am i telling you this ? if you missed out , you 're too late .","but why am i telling you this? if you missed out, you're too late."
45,"uh , my kitchen sink is clogged and my boyfriend is kind of useless , so ...","my kitchen sink is clogged and my boyfriend is useless, so..."
46,it 's like my stomach ties up in knots . and i ca n't breathe . and sometimes i think i 'm gon na throw up .,it's like my stomach is tied up in knots. and
47,select sid from shared_sessions where sid = 'bcdd1884d7777f2f888fae206241f2bb ' in /var/www/tutor/includes/database.mysql.inc on line 120,select
48,"best you can , mike . - yes , sir .","best you can, mike."
49,later,"later, later, later."
50,just wait till you go get the hamburgers . all right ?,wait till you get the hamburgers.
51,"oh , well . i do n't care about anything , anyway .","i don 't care about anything, anyway."
52,the opening of the spa season is traditionally connected with blessing the springs at the colonnade and speeches of the town and the spa company representatives .,the opening of the spa season is traditionally connected with the blessing of the
53,it 's like the family pet .,it's like the family pet.
54,`` it should n't be your responsibility .,`` it's not your responsibility. ''
55,me ? i 'm not talking about me .,i'm not talking about me. i'm not talking about me.
56,"so you 're telling me everything you 've done -- taking the 4400 , sending them back . -- it has n't changed anything ?",so you're telling me that you've done everything you '
57,"thank you , master of the bloody obvious .","thank you, master of the obvious."
58,"hey , there we go . hey , all we need now is pizza . we 've get ourselves one hell of the evening","hey, we've got ourselves a hell of a night. we've got ourselves"
59,it 's almost too much juxtaposition for me .,it's too much for me.
60,"fm seeing what he 's doing now , she thought .","fm seeing what he's doing now, she thought."
61,"fifteen minutes past midnight , evers got out of his car beside his home in a negro residential area .","fifteen minutes past midnight, evers got out of his car in a negro neighborhood."
62,all right . let 's go .,let's go. let's go.
63,that 's his dead son 's birthday .,that's his dead son's birthday.
64,"so why not just pack up all your belongings and take a chance in the badlands , 'cause this town is done .","so why not just pack up and go to the badlands, 'cause this town is"
65,"then he must leave . well , perhaps by then you will have seen the truth .",then he must leave. maybe by then you 'll have seen the truth.
66,"um ... forever . and you , why are you sneaking out here in the middle of the night if you 're not scared ?",you're not scared? you're not scared?
67,"you 're a good man , johnson .","you're a good man, johnson."
68,"yeah . we 'd sleep in , then go to church .","we 'd sleep in, then go to church."
69,"only in the most northern zone , the pec/pnec ratio ( 10 ) using the mean concentration is below 1 .","only in the most northern zone, the pec/pnec ratio ( 10 ) is"
70,"oh , my gosh ...","oh, my gosh... my god... my god... oh, my god... oh, my god... oh, my god... oh, my god... oh, my god..."
71,"you know , he 'd be pretty damn mad if he knew i was talking to you .",he 'd be mad if he knew i was talking to you.
72,"your boy al , he 's pixilated or something . he wo n't listen to reason .","your boy al, he's pixilated or something. he didn 't listen to reason."
73,i should let you get back to sleep .,i should let you go to sleep.
74,"i 'm sorry , i do n't mean to tell you what you should ask anyone , i would never dare , but ...","i'm sorry, i don 't mean to tell you what you should ask"
75,the commission would though point out that this preliminary conclusion is based on a certain number of assumptions .,the commission would point out that the preliminary conclusion is based on certain assumptions.
76,all i 'm saying is do n't go trying to be a hockey player .,"i'm just saying, don 't try to be a hockey player."
77,"nah , i do n't go out with anyone from the firm .",i don 't go out with anyone from the firm.
78,"she tried , with all her telepathic skill , to reach her cousin 's mind , but all she could feel was horror and long dread .","she tried to reach her cousin's mind, but all she could"
79,i 'll reach you later .,i 'll get in touch with you later.
80,"i 'm iust not sure i 'm ready yet , dad , afer all that 's happened this year and-","i'm not sure i'm ready yet, dad, after all that '"
81,you must have done one hell of a tony robbins on those people to get them to hand over their kids .,you must have done a tony robbins on those people to get them to hand
82,we ca n't stay on this ship . you know that .,we can't stay on this ship. you know that.
83,i propelled the corpse toward my attacker with all my strength and did not wait to observe the result of my action .,i pushed the corpse toward my attacker with all my strength and did not wait to observe the result of
84,i should 've brought her in sooner ... the first time she threw up .,i should've brought her in sooner.
85,"let 's go , people .","let's go, people."
86,but i know why i 'm here . to be a pilot .,but i know why i'm here. to be a pilot.
87,"if they do n't hear his voice in the next 30 minutes ,","if they don 't hear his voice in the next 30 minutes, they 'll be dead."
88,we do have things to do .,we have things to do.
89,"speaking of great honeymooning couples , charlie and harriet mackenzie .","speaking of honeymooning couples, charlie and harriet mackenzie."
90,"and , um , we can do your knuckles and your back , your legs ... ahh , sugar , sugar ... your arse .","and, uh, we can do your knuckles and your back, your"
91,"`` you wo n't have a street full of shoppers , `` or sidewalk cafes that cars that can go through . ''","`` you 'd have a street full of shoppers, `` or a sidewalk cafe that cars can"
92,"look , i want you to have this football .",i want you to have this football.
93,"please , this is what best friends do ... right before their friendship ends . why did you agree to let her stay ?","please, this is what friends do before their friendship ends. why did you agree to let her"
94,thanks for crossing me . no problem .,thanks for crossing me. no problem. no problem. no problem. no problem. no problem. no problem. no problem. no problem. no problem. no problem.
95,a little old lady in a nissan micra . gone into the back of a land rover .,an old lady in a nissan micra. gone into the back of a land rover.
96,"emolia , i 'm the one who said those things about sebastio . it was n't vic .","emilia, i'm the one who said those things about sebastio. it"
97,"they are simply not interested in fighting for a group of prospective clients , which university students undoubtedly are long-term .","they are not interested in fighting for a group of prospective clients, which university students are long-term"
98,we have a room full of computers dedicated to finding workable patterns .,we have a room full of computers that are dedicated to finding patterns.
99,"all right , i 'm coming out !",i'm coming out!
100,"why are they carrying dead cat pictures , huh ?",why are they carrying dead cats?
101,"'born bergen , norway ... '","born in Bergen, Norway... '"
102,"it 's a tearful good-bye to her true love , norman blurder , the rural juror .","it's a tearful good-bye to norman blurder, the rural juror"
103,"you know , i honestly do n't have the experience .",i'm not sure i have the experience.
104,underwater caving is notoriously dangerous .,underwater caving is dangerous.
105,get away from me ! fucking legs !,get away from me!
106,where 're they !,where're they?
107,of a dedicated service within the agency,a dedicated service within the agency.
108,"lila , i 've got to go .","lila, i've got to go."
109,"uh , this isn ’ t my shirt .",this is not my shirt.
110,thomas could only hope they ’ d make some sense of everything .,thomas could only hope they 'd understand.
111,"however , it is likely to be well above the eu average .","however, it is likely to be above the average."
112,"`` listen , dr. van allen , we 've got no business talking about this on the radio .","`` listen, dr. van allen, we've got no business talking about this on the radio"
113,the queen 's reign ends today .,the queen's reign ends today.
114,that 's cute . a zombie with a gas attack .,that's cute. a zombie with a gas attack.
115,"my mom 's staying with family upstate , but i 've got to find someplace around here to crash .","my mom's staying with family upstate, but i've got to find someplace"
116,they waited ... she gives birth in prison then they let her go .,"they waited for her to give birth in prison, then they let her go."
117,the relative orientation of each methyl group ( ch,the relative orientation of each methyl group ( methyl group ) ( ) ( ) ( )
118,"he caught himself , and cleared his throat self-consciously .","he caught himself, and cleared his throat."
119,"`` it is n't 'for ' anything , '' he said thoughtfully .","`` it's not for anything, '' he said thoughtfully."
120,"`` bevey , '' she said , `` i want you to find an orthopedic pediatric surgeon who will operate on szuzannah . ''","`` bevey, '' she said, `` i want you to"
121,"and lucky for him and lucky for us , before that earthquake there was actually a bunch of seismographic stations already in the area .","and lucky for him and lucky for us, before the earthquake there was already a bunch"
122,i have to keep going on till the end in order to grab hold of the future i want .,i have to keep going until the end in order to grab hold of the future i want.
123,"look , when you sell a hammer , someone can be killed with it .","when you sell a hammer, someone can be killed with it."
124,i 'm a little surprised .,i'm a little surprised.
125,"yeah , i want to check my phone , see if it still rings .","i want to check my phone, see if it still rings."
126,"all right , look , if it 's true . turn it around .","if it's true, turn it around. turn it around. turn it around. turn it around. turn it around. turn it"
127,"looks like you 're doing all right for yourself , are n't you ?","you're doing fine for yourself, are you?"
128,failed to start x server several times in a short time period ; disabling display % s,failed to start x server several times in a short time period ; disabling % s.
129,"holly told me where you 're coming from , and i 'm thinking now is not the best time .","holly told me where you're coming from, and i'm thinking now is not the"
130,"okay , so if i find someone with better credentials , who does n't look like `` emmie , '' you 'll be just as excited ?","if i find someone who's better than emmie,"
131,i/o address conflict detected .,i/o conflict detected.
132,there 's got i 'm overlooking .,there's a lot of things i'm overlooking.
133,"fortunately for ukraine , its business is private , and a common view of the whole business community is that the electoral rerun must be conclusive .","fortunately, the ukraine's business is private, and"
134,i guess i just always had a crush on an older man .,i guess i always had a crush on an older man.
135,"barbara : you can not expect me to sit down with a complete stranger , a , a man .","barbara : i'm not going to sit down with a stranger, a man."
136,it sounds like no one 's ever found the fifth cache .,it's like no one has ever found the fifth cache.
137,says one of the men originally sent to find it ... on a submarine called the zeus faber .,says one of the men who was sent to find it... on a submarine called the zeus fab
138,now you 're getting warmer . - clues are all there .,now you're getting warmer. - clues are all there.
139,"dd moved about the camp , starting fires , getting out pans , straightening tents , preparing everything for their return .","dd moved about the camp, starting fires, getting out pans, straightening tents, preparing everything for"
140,i had to oversee gift bags .,i had to oversee the gift bags.
141,"`` i 'm scared of boredom , still i 'm bored ''","`` i'm scared of boredom, still i'm bored ''"
142,that poor girl is carrying around ... a sadistic little mustachioed shit inside her .,that poor girl is carrying around a little mustache-faced shit in her.
143,"we 're expanding into the north east , and i 'm here to set it up .","we're expanding into the north east, and i'm here to set it up."
144,"it was the face of a young magic-user , weary from long nights of study at his books , but now relaxed , finding welcome rest .","it was the face of a young magic-user, weary from long"
145,i 'm sure you 're gon na figure it out .,i'm sure you 'll figure it out.
146,the secret 's safe .,the secret's safe.
147,"2a . for substances referred to in paragraph 2 that are engineered nanomaterials , the following additional conditions shall apply :","2a. for substances referred to in paragraph 2 that are engineered nanomaterials,"
148,"um , there is a peewee-league soccer playoff game tomorrow on the alpha field .",there is a peewee-league soccer playoff game tomorrow on the alpha field.
149,i really have to get home .,i've got to get home.
150,"forn said , “ in most languages it ’ s vampires , not vampires .","forn said, “ in most languages it's vampires, not vampires."
151,this part of it was for such as karl .,this part of it was for karl.
152,"well , well . please sit down . - barny .",please sit down. barny. please sit down.
153,"the women have been charged on 17 counts of aggravated indecent assault , as zimbabwean law does not recognize the act of a woman raping .","the women have been charged on 17 counts of aggravated indecent assault, as z"
154,"i 've got 30 , what have you got ?","i've got 30, what've you got?"
155,"when i entered the premises , i saw the two suspects , the guns the money , the drugs , the dead body .","when i entered the premises, i saw the two suspects, the guns, the money, the"
156,ido n't understand a word of it .,i don 't understand a word of it.
157,call me a doormat -- get it all out of your system -- but i 'm doing it .,call me a doormat -- get it out of your system -- but i'm doing it.
158,i 'm ok .,i'm fine.
159,"well , i do n't hit women ,","i don 't hit women, i don 't hit women."
160,i ca n't believe they 're just letting that woman free .,i can 't believe they're letting her go.
161,[ 9 ] http : //ec.europa.eu/justice/citizen/voting-rights/index_en.htm . [ 10 ] see annex .,[ 9 ] http : //ec.
162,"do you think , like , i 'm too nice to make it as a designer ?",do you think i'm too nice to be a designer?
163,"ok , aarons . hit the road .","aaron, hit the road."
164,she 's playing with fire - he 's not ready for nibbly pig .,she's playing with fire - he's not ready for nibbly pig.
165,"that 's you , right , miss mcnamara ?","that's you, miss mcnamara?"
166,"and ... i think i feel the same way , too .",and i'm sure i'm the same way.
167,"yeah , it is an appropriate gift for the baby .","yeah, it's a good gift for the baby."
168,"according to hungary , the commission assessed the legislation at issue in isolation only , without taking the general context of that legislation into account .","according to hungary, the commission assessed the legislation at issue in isolation, without"
169,the lab found trace amounts of titanium alloy in the threads .,the lab found traces of titanium alloy in the threads.
170,it 's a sick feeling .,it's a sick feeling.
171,"you came early , but you 're gon na make it .","you're going to make it, but you're going to make it."
172,he bought it when he was quite a young man on his grand tour .,he bought it when he was a young man on his grand tour.
173,"oh , man . are you okay ?",are you all right?
174,"every time i think about the eulogy , i just ... all i picture is frost laughing at me .","every time i think about the eulogy, i just... i just... i just... i just"
175,". were cured today , i would be eighty-two standard years old before she again reached the age she was when we first met . ''",. i 'd be eighty-two years old before she would be eighty
176,he doth it as like one of these harlotry players as ever i see .,he does it as if he were a harlot.
177,"just do it . if quinn asks , tell him it failed .","tell him it failed. if quinn asks, tell him it failed."
178,i 'm on a lasagna diet .,i'm on a lasagna diet.
179,"now , i 'd be willing to part with just a taste of it , but ...","i 'd be willing to taste it, but..."
180,"mick , you 're going to say it was self-defense , right ?","mick, you're going to say it was self-defense, right?"
181,"if i 'm right about the other party , you wo n't just be making an obscene amount of money .","if i'm right, you 'll be making a lot of money."
182,so are we going home together or what ?,so are we going home or what?
183,it 's going awfully slow . - that 's all .,it's going slow. - that's all.
184,'were you surprised i found the sword ? ' agwaine asked him .,'were you surprised i found the sword?'agwaine asked him.
185,"fuck me , that ai n't bad .",that's not bad.
186,"yes indeed , all sorts of friends are available for our inspection , but at least one seems to have dropped out of sight .","yes, all sorts of friends are available for our inspection, but one seems to have disappeared"
187,ai n't got no toes ... ... to worry about stomping them .,i'm not going to stomp my toes.
188,brother arshad has a beautiful singing voice .,brother arshad has a beautiful voice.
189,one interested party claimed that the commission did not investigate whether the union industry failed to anticipate that government support schemes would be abruptly withdrawn or decreased .,one interested party claimed that the commission did not investigate whether the industry failed to
190,it feels like yesterday .,it's like yesterday.
191,"do n't forget , if your tips are magic , she 'll be back for another number with our magician , jim 's etoile .","don 't forget, if your tips are magic, she"
192,"no . no , you do n't . you do n't .","no, you don 't. you don 't. you don 't. you don 't."
193,do international tribunals of the sort milosevic faced before his death promote or postpone serious self-reflection and reconciliation in damaged societies ?,do tribunals of the kind milosevic faced before his death
194,"finally , the villain is mortally wounded . he dies ... ... in character .",the villain is mortally wounded. he dies...... in character.
195,"i deprive them for only two days , then give them back a pittance and now they 'll eat dung , they really will .","i give them two days, then give them back a pittance, and"
196,"subat gaped at him , his expression incredulous .","he was incredulous, his expression incredulous."
197,"no , it 's just me .","no, it's just me."
198,"i mean , even at half off , the shit is still expensive .","even at half off, the shit is still expensive."
199,"the spanish are barely a day away , majesty .",the spanish are just a day away.
200,what 's she gon na do ?,what's she gonna do?
201,did i happen to say thank you ?,did i say thank you?
202,back to your lesson . - you 're taking it to your room .,back to your room. - you're going to your room. - you're going to your room. - you're going
203,there was the quick thudding of running feet as a number of deserters got there first .,there was the thudding of running feet as a number of deserters got there first.
204,"`` then i suggest you remove yourself from school property at once , young man , before i call the police . ''","`` i suggest you leave school property immediately, young man, before i call the police. ''"
205,he 's dead . who the hell is he ?,he's dead. who the hell is he?
206,"sure , if you call three weeks ages ago .","sure, if you call three weeks ago."
207,"no , they 're gon na find him , hon .","no, they're gon'find him."
208,"i figured this brunch would be so lame , i needed something that would n't upstage them .","i figured this brunch would be lame, i needed something that would not upstage them."
209,i 'm going to do what the fuck i want .,i'm going to do what i want.
210,"' no , i never heard of any place like that , ' he told me .",' i've never heard of a place like that.
211,now you need to save his .,now you need to save his life.
212,"your child comes to this school , we will guarantee that we will get your child into college .","your child comes to this school, we will guarantee that he will get into college."
213,let them go and dig their own wells . '',let them dig their own wells. ''
214,it was a great relief to have the car standing on the street again ; the way that rotted bumper bent up under the jack had scared me .,it was a relief to have the car back on the street again
215,"that 's not only childish , it 's irrational , and i do n't have the time to try to reason with somebody whose wits have deserted him .","that's not only childish, it's"
216,"i do n't know if i 'd go disturbing him , if i was you .","i 'dn't want to disturb him, if i were you."
217,"the professor carefully tried the lock , lest we might not be able to open it from within should we be in a hurry making our exit .","the professor carefully tried the lock, lest we might not be able to open"
218,"well , uh -- - i can take it . everyone knows how hard it must be for daniel ,","well, i'm sure it's hard for daniel."
219,"'trouble is , we do n't have any idea where the float may be . '",'we don 't know where the float is. '
220,john olafsen had made a good living back when life had been normal .,john olafsen had made a good living before the war.
221,they had some on samples for last week .,they had some samples for last week.
222,'where 's my book ? ','where's my book? '
223,"and they 've awarded him $ 500,000 .","and they've awarded him $ 500,000."
224,lights ... media ... fireplace ... even turn on the lawn sprinklers if someone is n't supposed to be here .,"lights, media, fireplace, even turn on the lawn sprinklers if someone is not supposed to be"
225,let me guess . sumei ?,i'm guessing sumei.
226,what does merlyn ?,what does merlyn do?
227,i ca n't think straight if i do n't relax .,i can't think straight if i don 't relax.
228,according to my clinical research on drug induced amnesia ...,according to my clinical research on drug induced amnesia... i've found that the drug is not responsible for the amnesia.
229,"interviewer : you think if he goes to sweden , he may be sent to the states ?","interviewer : if he goes to sweden, he may be sent to the states?"
230,"when the cab was arriving , i heard the scream .","when the cab arrived, i heard the scream."
231,but what 's going on up there ?,but what's going on up there?
232,"ah , ah , are you a doctor ?",are you a doctor?
233,i 'm seeing a real nice woman now .,i'm seeing a nice woman now.
234,"it was bremen , changing his appearance , his form , his very thinking , so that he could penetrate the stronghold of the warlock lord .","bremen changed his appearance, his form, his thinking, so that"
235,organised civil society should play a key role but seems to be reluctant to assume this .,civil society should play a key role but seems to be reluctant to assume this.
236,and i think you know who i 'm talking about . - jack-off ! jack-off !,and i'm talking about jack-off! jack-off! jack-off! jack-off!
237,"uh , pardon me for asking , but , uh , are n't you the sheriff of absaroka county ?",are you the sheriff of absaroka county?
238,"i just think i need ... a couple of months , you know , to finish my exams .","i'm just going to take a little break, you know, to finish my exams."
239,"do you think he 'll welcome you , into his arms , like the so very many you 've sent his way ?","do you think he 'll welcome you, into his arms, like the many you '"
240,"he wished only to be let alone , and perhaps to sleep the night out , and not to be questioned after .","he wished only to be left alone, and perhaps to sleep the night out, and not to be"
241,web link to the full text of the aid measure : http : //www.mzcr.cz/odbornik/pages/1163-resortni-program-vyzkumu-a-vyvoje-ministerstva-zdravotnictvi-iii-na-leta-2010-2015-kod-nt.html,web
242,that 's what makes him one of the most relevant artists of our time .,that's what makes him one of the most relevant artists of our time.
243,"article 4 in evaluating the identity of , or confusion with , a variety denomination of another variety , the following shall apply :","article 4 in evaluating the identity of, or confusion with, a variety denomination of another variety,"
244,you 're makin ' me nervous .,you're making me nervous.
245,"i never had that thought about you , mr ritter .","i never thought about you, mr ritter."
246,"gerasimov was thinking , too .",gerasimov was thinking.
247,"just resting , sir . just resting .",just resting. just resting. just resting.
248,i have to open the station early . that 's sad .,i have to open the station early. that's sad.
