,source,target
249,i understand you .,i'm sorry.
250,he 's awfully short . and i think he 's talking to himself .,he's short. and he's talking to himself.
251,we do n't need to play any games with it tonight .,we don 't need to play any games with it.
252,firing off memos in the middle of the night directly to the joint chiefs of staff . which pissed off his immediate superiors to no end .,firing off memos in the middle of the night to the joint chiefs of
253,"all of a sudden , i felt this sensation on my neck .",i felt a sensation on my neck.
254,"so , applejack .",applejack.
255,and what 's the difference ?,and what's the difference between you and me?
256,"she did n't show you no papers , no deed nor nothing ?","she didn 't show you any papers, no deed, nothing?"
257,let 's run away .,let's run away.
258,we 'll all go to the chair . - maybe it was n't one of us !,we 'll all go to the chair. maybe it wasn't one of us!
259,jacob ... i 'm engaged to you .,"jacob, i'm engaged to you."
260,they 're savages -- reckless and single-minded .,they're savages -- reckless and single-minded.
261,"o , this is hire and salary , not revenge .","this is hire and salary, not revenge."
262,"five years ago , patricia bradley was granted ... a conditional release by the governor .","five years ago, patricia bradley was granted conditional release by the governor."
263,"relax uncle , sanju just talks rubbish .","uncle, sanju just talks rubbish."
264,i 'm on the way down .,i'm on my way down.
265,go tell the surgeon to cut out the freak 's horns .,tell the surgeon to cut out the freak's horns.
266,"`` it 's not a secret , '' she cried .","`` it's not a secret, '' she cried."
267,"the ceiling collapsed , and aquim threw himself forward , trying to shield the preservation canister and the magnificent brain of the ancient cogitor .","the ceiling collapsed, and aquim threw himself forward, trying to shield the"
268,i can be there in about four hours . do you want me to come over ?,i 'll be there in four hours. do you want me to come over?
269,"in other words , its application requires the taking of positive action , failing which rules conflicting with community law are applied .","in other words, the application of the law requires the taking of positive action, failing which rules conflicting"
270,"the telephone was n't working , and anna had n't come down - she 's the housekeeper .","the telephone was not working, and anna had not come down."
271,lying atop sayre 's desk were amazingly complete files on all four of them .,on the desk were all the files on the four of them.
272,"i 'll see you tonight , 9:00 sharp .",i 'll see you at 9:00 p.m. sharp.
273,to thank you for helping me clean up the mess that i made in your shop of bugs .,thank you for helping me clean up the mess that i made in your shop of bugs.
274,"“ all right , you incompetent bungling blind microcephalic dingdongs !","“ you incompetent, blind, dumb, dung-dong-dong-dong-dong-dong"
275,"keepsakes , you might ... excuse me . could you tell me where i 'd go to collect a trunk ?","keepsakes, you might... excuse me. could you tell me where i 'd go"
276,"if that 's the case , it must be two seconds .","if it's true, it must be two seconds."
277,who 's she ?,who's she?
278,"no , that 's not what he means .","no, that's not what he means."
279,now she would like to meet father moinighan .,now she wants to meet her father.
280,"it will be a tracking shot through the wood with plants growing , flowers blooming and the woodland coming to life over the course of a year .","it's a tracking shot through the wood with plants growing, flowers"
281,time is running out if you decide you want to ...,time is running out if you decide to...
282,"for a short while at least , this small patch of scotland could honestly call itself the oil capital of the world .","for a short while, this small patch of scotland could call itself the oil capital"
283,`` several times in the last couple of days you yourself were almost killed .,`` you were almost killed several times in the last couple of days. ''
284,"it 's our job to try to protect you from making the dangerous ones , if we can .",it's our job to try to protect you from making the dangerous ones.
285,mom 's been gone for ten years .,mom's been gone for ten years.
286,we do n't even know what you have yet .,we don 't know what you have.
287,i never knew that you liked kids so much .,i never knew you liked kids so much.
288,you know what the best thing is about a pimp ?,the best thing about a pimp is that he's got a lot of money.
289,"say , these kids , they ca n't all be bad , can they ?","say, these kids, they can't all be bad, can they?"
290,i 'll make sure they 're taken care of .,i 'll make sure they're taken care of.
291,it costs a lot to look that cheap .,it's expensive to look like that.
292,"uh , aside from a course of antibiotics a year ago , we have n't filled anything for her .",we've not filled anything for her in a year.
293,"my goodness , i would have been disappointed ... if you had n't crushed my hand .",i would have been disappointed if you had not crushed my hand.
294,it 's a dessert place right around the corner .,it's a dessert place right around the corner.
295,it 's just like riding a bike .,it's just like riding a bike.
296,in july the eu delegation co-organised a workshop on roma issues which drew up several,in july the eu delegation organised a workshop on roma issues.
297,"it 's been real lonely without you , rita .","it's been very lonely without you, rita."
298,reputation of the ‘ melon de guadeloupe ’,reputation of the melon de guadeloupe.
299,perhaps you misunderstoodthe meaning of the term .,perhaps you misunderstood the meaning of the term.
300,"really , he waved at stevie wonder . '' what the fuck ?",he waved at stevie wonder. '' what the fuck? ''
301,"by the time it was over , cashed out over 25 grand .",it was over 25 grand.
302,where did this woman run off to now ?,where did she go?
303,"you understand i used to be in the nba , yes ?","i used to be in the nba, yes?"
304,"indigenous west indies , southern u.s. , considered a pest in hawaii . ' `` fuckola , starling thought .","indigenous west indies, southern u.s., considered a pest"
305,"so , what 's your sign ?","so, what's your sign?"
306,meet me on top of the fairmont hotel without anyone else or i 'll ...,meet me at the top of the fairmont hotel without anyone else or i 'll...
307,do n't you have something at marshall 's school ?,do you have something at marshall's school?
308,"is there , is there anything else you want to , you want to talk to me about ?",is there anything else you want to talk about?
309,"she told you about a video tape , did n't she ?","she told you about the video tape, didn't she?"
310,"look at those beady little eyes , and that pur-posti-rus chin , and those ricky-diculus striped pyjamas .","look at those eyes, and that pur-posti-"
311,oriya letter yya,"oriya letter yyaa letter, yyaa letter."
312,"`` i mean , i 've sucked a lot of dicks , diary .","`` i've sucked a lot of dicks, diary. ''"
313,it 's an album by the band queen . see ? aah !,it's an album by the band queen. see? aah!
314,"and if the police ca n't find the person who did it , they 're gon na find jason .","and if the police can't find the person who did it, they 'll find jason."
315,"for example , you might create an inventory list , a sign-up sheet , a roster , and so on .","for example, you might create an inventory list, a sign-up sheet, a roster, and"
316,i spent the last hour convincing the germans we were n't deliberately humiliating them .,i've been trying to convince the germans that we're not deliberately humiliating them.
317,"yeah . you guys stay and bond over how great i am and how you want me to be happy , okay ?","yeah, you guys stay and bond over how great i am and how you want me to be happy"
318,you must be asking yourself ... ... how repulsive-looking the guy that 's gon na make you his woman gon na be ?,you're asking yourself...... how repulsive-looking the guy who '
319,"in coming to an opinion on this issue , member states shall take duly into account any relevant information from other member states .","in coming to an opinion on this issue, member states shall take into account any relevant information from"
320,i 've already said yes .,i've already said yes.
321,know your enemy and all that .,know your enemy and you 'll be able to beat him.
322,"the result will be great art ; for no longer , as up to yesterday , will the artists pander to the bourgeois taste of the middle class .","the result will be great art ; for no longer, as yesterday"
323,we 're testing our patient 's blood for a hereditary ...,we're testing the blood of our patient's family for a hereditary...
324,"yeah , we never get to see you .",we never get to see you.
325,"what happened in france during those days of 1914 , when our armies invaded that country and were marching in triumph from one victory to another ?","what happened in france during the days of 1914, when our armies invaded"
326,"at the same time , the rates of degenerative diseases are skyrocketing .",the rates of degenerative diseases are skyrocketing.
327,he was the first federation diplomat l ever met who truly seemed to understand the klingon nature .,he was the first federation diplomat i ever met who truly understood the klingon nature.
328,"second , find a soothing activity to distract yourself .",find a soothing activity to distract yourself.
329,are you seriouy mad about this ?,are you serious about this?
330,so can i ship out ?,so can i go?
331,"‘ mixed applications tyre ’ means a tyre designed to be fitted to either driven and non-driven axles of implements , agricultural machinery or trailers ;",‘ mixed applications tyre ’ means a tyre designed to
332,"i said , `` listen , kyle , you 're everything to me .","i said, `` listen, kyle, you're everything to me. ''"
333,"when export licences are issued , priority shall be given to milk powder falling within the following product codes from the nomenclature of export refunds :","when export licences are issued, priority shall be given to milk powder falling"
334,"down there , i 'm only heinz , the cook 's mate .","down there, i'm only heinz, the cook's mate."
335,"but he was a clumsy man , and one of his feet caught on the leg of the armchair .","but he was clumsy, and one of his feet caught on the armchair."
336,boobie ! you 're in .,boobie! you're in.
337,we stay in bed naked all day together .,we stay in bed naked all day.
338,i understand you 're looking to start up a brand-new business .,i'm looking to start a new business.
339,i 'm not saying it 's not .,i'm not saying it's not.
340,"once , i was n't able to save my own family , but i 'd like to rescue you and your daughter .","once, i was not able to save my own family, but i 'd like to"
341,"the fire dies , no damage to what 's inside .","the fire dies, no damage to the house."
342,here 's the good news .,here's the bad news.
343,with my heightened senses ... ... it hurts me worsethan it would hurt you .,with my heightened senses...... it hurts me more than it would hurt you.
344,i 'm jet-lagged and i do n't want to fall asleep .,i'm jet-lagged and i don 't want to fall asleep.
345,we 're gon na kick it .,we're gonna kick it.
346,i risked my life for them pelts . i fought me a dozen kiowas .,i risked my life for the pelts. i fought a dozen kiwas. i fought a dozen kiwas.
347,okay . come in .,come in. come in. come in. come in. come in. come in. come in. come in. come in. come in. come in. come in. come
348,"what would happen then , i mean , how do you die ?",what would happen if you die? what would happen if you die?
349,eumm georgia shall consist primarily of staff seconded by member states or union institutions .,eumm georgia shall consist of staff seconded by member states or union institutions.
350,"well , you ca n't always be honest , not with the sharks swimming around this town . if i 'd been totally honest ,",you can't always be honest.
351,( b ) an access code associated with the “ guarantee reference number ” is allocated and is communicated to the principal by the office of guarantee .,( b ) an access code associated with the “ guarantee reference
352,ma'am i need you to stay call .,i need you to stay on the phone.
353,"you get straight to the point , huh ?","you're not going to waste any more time, huh?"
354,"andrew , i , um ... actually , i was thinking , ... maybe we could have the wedding here .","andrew, i'm thinking, maybe we could have the wedding here."
355,off the garden entirely and onto the grass !,off the garden and onto the grass!
356,"all right , well , let me ask you this :",what do you think of this?
357,"i won her fair and square , mate . more or less .",i won her fair and square. more or less. more or less. more or less. more or less. more or less. more or less
358,such transactions shall be reported both as a source of encumbrance and as an encumbered asset or collateral .,such transactions shall be reported both as an encumbrance and as an encumbered asset.
359,"it 's that house , the one with a line painted on the door .",it's the house with the painted door.
360,i 'm glad i came here .,i'm glad i came here.
361,"sir , we were n't telling the whole truth , ... ..and that 's why the machinethinks the memories are false .","we're not telling the whole truth, and that's why"
362,"well , my advice is you better do something soon , or you 're out and the doctor 's in .","well, my advice is you better do something soon, or you're out and the doctor '"
363,and we 're talking about a lot of money here .,and we're talking about a lot of money here.
364,"hell , edgar , that was my strongest dog .",that was my strongest dog.
365,"this is my first time going to dinah shore with rose and i as a couple , so it'il be interesting .","this is my first time going to dinah shore with rose and i as a couple,"
366,"wait a minute . if his old lady moves out on him because of this , i call first dibs .","wait a minute. if his old lady moves out on him because of this, i'm first"
367,"`` they chose her , she 's very old , johnston ''","`` she's very old, johnston ``, johnston."
368,"in that case , entry checks shall as a rule take priority over exit checks ’ ;","in that case, entry checks shall take priority over exit checks."
369,"'i have missed you both during the years , ' said revelation .",'i've missed you both during the years.
370,dead man walking .,dead man.
371,"no , you wo n't .","no, you're not."
372,you were selling novelty products in wichita when i was born .,you sold novelty products in wichita when i was born.
373,following drive mapping operation could not be completed .,following mapping operation could not be completed.
374,it 's very embarrassing . we have to get him off . i 'll have to have you come with me .,it's very embarrassing. we've got to get him off. i 'll have
375,you 're more than modest .,you're more than modest.
376,"i could n't get the band on the runway . they would n't let me , no matter how much money i offered . oh , yeah .",i couldn 't get the band on the runway. they wouldn
377,he has cell phone footage of jonathan with ... very young men at the lake house .,he has cell phone footage of jonathan with young men at the lake house.
378,"it depends on you and hamilton , now .",it depends on you and hamilton.
379,do i have one ?,do i have a ticket?
380,"iv.5.2.4 award criteria : please refer to chapter ii.2.4 , p.20 .",iv.5.2.4 award criteria : please refer to chapter ii.2.4
381,"i do n't know , but there 's going to be lots of food , and a band .","i don 't know, but there's going to be a band."
382,the onus is thereby on the payment service provider to furnish evidence that the holder of the payment verification instrument did in fact order the payment .,the onus is on the payment service provider to furnish evidence that the holder
383,viruses containing the rta181t mutation remained susceptible to tenofovir with ec50 values 1.5-fold that of wild-type virus .,viruses containing the rta181t mutation remained susceptible
384,they did a tv special about him and even showed a re-run !,they did a special about him and even showed a re-run!
385,"and everything he does , huh , is big .","and everything he does, is big."
386,bill : that 's my dog .,bill : that's my dog.
387,"therefore , in the case of bergholz , the project was only possible because leader+ funded the support structure at the local level .","therefore, in the case of bergholz, the project"
388,thinking we 'll feel so sorry for you and help you get into panhellenic .,thinking we 'll feel sorry for you and help you get into panhellenic.
389,a lot wish they had who have n't ... ... and one or two have who wish they had n't .,a lot of people wish they hadn't.
390,the aide stretched his thumb and finger apart and spanned the distance from siberia southeast down to utah .,the aide stretched his thumb and finger apart and spanned the distance from siberia southeast to ut
391,one that 's more important than his ritual need to drain the blood and wrap the parts .,one that's more important than his ritual need to drain the blood and wrap the parts.
392,i do n't appreciate you letting them have that dog ... ... when coby and lisa ca n't have a hamster .,i don 't appreciate you letting them have that dog when coby and l
393,we try to prevent this-but your own case is an example of the problems we encounter .,we try to prevent this-but your case is an example of the problems we encounter.
394,asset 's more important to them than you .,asset's more important to them than you.
395,would you let me read your book sometime ?,would you let me read your book?
396,"in view of the accession of bulgaria and romania , it is appropriate to adapt decision 2005/176/ec .","in view of the accession of bulgaria and romania, it"
397,you want me to throw myself and my bureau on the grenade .,i want to throw myself and my bureau on the grenade.
398,"( c ) the amount equal to the specific costs arising out of a certification task , which shall be recovered in full at real cost .",( c ) the amount equal to the specific costs arising out of a certification task
399,jan di 's not here either .,jan di's not here.
400,"considering what you did to us , being able to find you is gon na go a long way .","considering what you did to us, finding you is going to go a long way."
401,guess it 's not that lucky .,it's not that lucky.
402,that explains the dye but not the person spotted at the center of it .,that explains the dye but not the person spotted.
403,how about a beer in a bottle instead ?,how about a beer in a bottle?
404,`` in my family for a . . . very long time . '',`` in my family for a long time. ''
405,that 's some name .,that's a name.
406,are you in touch with her ? no ...,are you in touch with her? no... no... no... no... no... no... no... no... no... no... no... no... no... no
407,it 's funny .,it's funny.
408,"again ... when you 're right , you 're right .","when you're right, you're right."
409,i 'm coming back to hong kong now,i'm coming back to hong kong.
410,help ... - whoa !,help!
411,"now , you owe us 25 g 's , man .","you owe us 25 g's, man."
412,i have lots of work here . .,i have a lot of work here... and i'm very busy...
413,it 's a deviant sexual behavior in which the frotteur becomes sexually aroused ... ... by rubbing his genitalsagainst others in public places .,it's a deviant sexual behavior in which the frot
414,"you tell me you 're leaving me , and you have the nerve to expect graciousness ?","you tell me you're leaving me, and you're expecting kindness?"
415,the commission is unlikely to identify horizontal competition concerns in a market with a post-merger hhi below 1000 .,the commission is unlikely to identify horizontal competition concerns in a market with a post-merger hhi
416,i told you they 're all mad as hatters . did n't i ?,i told you they're all mad as hatter. did i not?
417,"well ... it is n't line-caught blue marlin , but it does n't look half-bad .","well, it's not line-caught blue marlin, but it's not"
418,"`` aside from that , whoever this commander is , he seems to be in contact with your bothan pals .",`` he seems to be in contact with your friends. ''
419,"along the way , i threw my gun into the royal river . i 've been very clear on this point .",i threw my gun into the royal river. i've been very clear on this point.
420,if you 're sitting down with someone you do n't trust .,if you're sitting down with someone you don 't trust.
421,"`` the patient man survives , '' that 's one of the things my grandfather nanook loved to say .","`` the patient man survives, '' that's one of nanook's favorite sayings."
422,thanks to the silly asses of the world ... i can make a fortune .,"thanks to the idiots of the world, i can make a fortune."
423,i 'm just nervous about the drop is all .,i'm just nervous about the drop.
424,"but i 'm not gon na do that , am i ?","but i'm not going to do that, am i?"
425,"he turned his head , and saw that now he was fighting on the floor of an enormous amphitheatre .",he turned his head and saw that he was fighting in an amphitheatre.
426,"ah well then , do n't sign it !","well, don 't sign it!"
427,we can get on a boat at the port in the morning .,we can go to the port in the morning.
428,enterprise single sign-on server,"enterprise single sign-on server server, enterprise single sign-on server, enterprise single sign-on server, enterprise single sign-on server."
429,i have a warrant for hanner 's arrest .,i have a warrant for hanner's arrest.
430,your name is tuchman marsh ?,your name is marsh?
431,i have n't found miss right yet .,i haven 't found the right girl yet.
432,"for god 's sake , paul .","for god's sake, paul."
433,"he had related his tale calmly enough , but the usually firm , confident smile was thin and tight .","he had told his tale calmly, but the usual firm, confident smile was thin and tight."
434,darryl : - and i told you it 's dewey 's turn .,darryl : - and i told you it's dewey's turn.
435,"the star playing opposite thorby was loeen garcia , late of el nido .","the star opposite thorby was loeen garcia, late of el nido."
436,fucked up my phone .,it's fucked up my phone.
437,i have to talk to the tutor about jude 's mid-terms .,i have to talk to the tutor about jude's mid-terms.
438,"he 's ever seenin all his years , on a little girl called amanda and a doll named mirabelle .","he's seen all his life, on a little girl named amanda and a doll"
439,so that 's like the dust they sweep off the floor of a place that makes real cheese .,so that's like the dust they sweep off the floor of a place that makes real cheese.
440,"i mean , lucy hit kids , too .","lucy hit kids, too."
441,she is vanquished ?,she's vanquished?
442,"so , everything 's good ?",everything's good?
443,yeah ? -hey ty ... ... give me that guy 's number .,"hey ty, give me his number."
444,what are they talking about ? we 've never been here before .,what are they talking about? we've never been here before.
445,"difficulties conceiving or who are undergoing investigation of infertility , withdrawal of lornoxicam should be considered .","difficulties conceiving or who are undergoing investigation of infertility, withdrawal of lornoxicam should"
446,but a mind as narrow as yours ... ... would have no idea what to do with that information .,but a mind as narrow as yours...... would not know what to do with that information.
447,"sergeant , why would you hide a dead drug dealer 's cellphone from me ?","sergeant, why would you hide a dead drug dealer's cellphone from me?"
448,"in fact , as far as we know , blu is the last male of his kind .","in fact, blu is the last male of his kind."
449,`` he did talk .,`` he talked. ''
450,"we 've evacuated 1,087,310 people in the last two hours ... ... but there are sectors we ca n't get near .","we've evacuated 1,087,310 people in the last"
451,but they arecursing at you for no reason .,but they are cursing at you for no reason.
452,i 've never attended a mrs. de winter in my life . favell :,i've never been to a mrs. de winter in my life. favell : i've never
453,care for an autograph ?,do you want an autograph?
454,"the boatshed , charming our dea agent , we hope .","the boatshed, charming our agent, we hope."
455,hi . yes .,hi. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes. yes
456,"first thing , the bad guys are called cylons .","first, the bad guys are called cylons."
457,all the same mr. baggins kept his head more clear of the bewitchment of the hoard than the dwarves did .,"all the same, mr. baggins kept his head clear of the bewitch"
458,write dat down !,write down the data!
459,thinks he 's some kind of revolutionary .,he's some kind of revolutionary.
460,"the script 's done ... ... the movie 's boarded , andwe worked on it this summer .","the script's done, and we worked on it this summer."
461,"agent lee , we appreciate the assistance you 've given us .","agent lee, we appreciate your help."
462,i 'm still not getting why we 're involved with this .,i'm still not getting why we're involved with this.
463,"that third strike , that-that 's a bitch .","that third strike, that's a bitch."
464,"the undermined wall had collapsed , killing a score of his men , but the rest had regrouped well and michanek was proud of them .","the wall had collapsed, killing a score of his men,"
465,"ooh , that piano player is cute as a bug .",that piano player is cute as a bug.
466,"oh , i hope i 'm not late for max 's first day of school surprise party .","oh, i hope i'm not late for max's first day of school surprise party."
467,how can you say that that tasty skank is nothing ?,how can you say that that skank is nothing?
468,"my little brother ed 's standing behind you , and he got a regular navy pistol .","my little brother ed's standing behind you, and he got a regular navy pistol."
469,"i mean , i just figured we can get a cup of coffee ... afterwards with some people in class .","i mean, we can get a cup of coffee and talk about it."
470,i got a big surprise ...,i got a surprise for you.
471,indemnities for damages and costs resulting from claims and legal actions to be paid through athena .,indemnities for damages and costs to be paid through athena.
472,"well , i 'll tell you , i 've heard a lot of stories about sam city , but i never ...","i've heard a lot of stories about sam city, but i never..."
473,you 're both -- what 's the expression ?,you're both -- what's the expression?
474,go on . it 's the same,go on. it's the same.
475,"no , i ca n't . i 'll send the money to bring cosette here .",i 'll send the money to bring cosette here.
476,bathroom 's down the hall .,bathroom's down the hall.
477,do i look like i 'm under 21 ?,do i look like i'm under 21?
478,"so she flagged me down , thought it might have something to do with our murder investigation .",she thought it might have something to do with our murder investigation.
479,i 'm not sure anymore .,i'm not sure anymore.
480,means any person who is not a citizen of the union within the meaning of article 20 ( 1 ) tfeu ; ( b ) ‘ seasonal worker ’,means any person who is not a citizen
481,we 're gon na have to breach the building if skinner does n't come up with the money .,we're gonna have to break the building if skinner doesn 't come up with the money.
482,"well , it 's a little late to be keepin ' store , is n't it ?","well, it's late to keep keepin'store, isn 't it?"
483,"at the foot of each stake , the townspeople-his friends , his neighbors were gleefully tossing great armloads of dry tinder onto a mound .",the townspeople were tossing dry tinder onto the
484,i should probably cut back too .,i should probably cut back.
485,"they fired in neat unison , and the small , nearly portly figure was thrown across two lanes like a limp laundry sack .","they fired in a neat line, and the small, nearly portly figure was thrown across"
486,"get out ! `` ... stone is promoting his grammy-winning release , `` people rockin ' people '' , to sold-out arenas worldwide ... ''",get out! ``... people rockin'people '' is
487,remote launch,remote launch of the rocket.
488,"you 're ziemowit , piast 's son .","you're ziemowit, piast's son."
489,`` perhaps i should make you my heir and let you judge if yaemon 's worthy to follow you . '',`` maybe i should make you my heir and let you judge if he's worthy to follow you
490,"fuck . spitter , what 's the range on these things ?",what's the range on these things?
491,"the woman i saw this morning . all right , who is she ?",the woman i saw this morning. who is she?
492,"shh , baby . i 'm sorry . i 'm ...","shh, baby. i'm sorry. i'm sorry."
493,"look , i 'm your landlord , i have a right to come in .","i'm your landlord, i have a right to come in."
494,12 the interveners lodged their statements in intervention within the time-limits set .,12 the interveners lodged their statements within the time-limits set.
495,"no , do n't worry , he 's not gon na live here forever .","no, don 't worry, he's not going to live here forever."
496,does n't it tear your guts to see something like that ?,does it make you sick to see something like that?
497,"so , i was just finishing cleaning up in here , but , uh , why do n't you come on in , have a seat ?","so, i was just finishing cleaning up, but, why don 't"
498,no one has questioned that he is qualified to be vice president .,nobody has questioned that he is qualified to be vice president.
499,i need to prove i am to get me on the way to prove i 'm not .,i need to prove i am not to get on the way to prove i'm not.
